Time,Accuracy,Weighted Avg Precision,Weighted Avg Recall,Weighted Avg F1-Score
0,0.09523809523809523,0.6373791373791374,0.09523809523809523,0.10642542731378267
2,0.09241952232606439,0.6390226291065829,0.09241952232606439,0.10613288830446593
3,0.09053069719042664,0.6401344813495708,0.09053069719042664,0.10595451473536652
6,0.0886339937434828,0.6412594478329334,0.0886339937434828,0.10578977174733684
7,0.08113804004214963,0.6169280792880862,0.08113804004214963,0.09539995927509443
8,0.069593147751606,0.5817534675615788,0.069593147751606,0.07399277159338694
9,0.06345733041575492,0.6872811215043163,0.06345733041575492,0.06158736616799276
10,0.051511758118701005,0.603594298233641,0.051511758118701005,0.039705990799506964
11,0.04534883720930233,0.5875936769227936,0.04534883720930233,0.02763388463545238
12,0.032490974729241874,0.32315992024044127,0.032490974729241874,0.004444633466552059
13,0.031630170316301706,0.0010004676742382534,0.031630170316301706,0.0019395859156222741
14,0.03170731707317073,0.0010053539559785843,0.03170731707317073,0.001948913106152338
15,0.13186813186813187,0.017389204202391016,0.13186813186813187,0.03072655499839966
16,0.2,0.04,0.2,0.06666666666666668
17,0.20833333333333334,0.043402777777777776,0.20833333333333334,0.07183908045977011
18,0.2978723404255319,0.08872793119058396,0.2978723404255319,0.13672828740844087
19,0.4782608695652174,0.2287334593572779,0.4782608695652174,0.309462915601023
20,0.35294117647058826,0.12456747404844291,0.35294117647058826,0.18414322250639384
21,0.5555555555555556,0.30864197530864196,0.5555555555555556,0.39682539682539686
22,1,1,1,1
