Time,Accuracy,Weighted Avg Precision,Weighted Avg Recall,Weighted Avg F1-Score
0,0.9293993677555321,1,0.9293993677555321,0.963407973784817
2,0.9293993677555321,1,0.9293993677555321,0.963407973784817
3,0.9293993677555321,1,0.9293993677555321,0.963407973784817
6,0.9293993677555321,1,0.9293993677555321,0.963407973784817
7,0.9293993677555321,1,0.9293993677555321,0.963407973784817
8,0.9346895074946466,1,0.9346895074946466,0.9662423907028225
9,0.949671772428884,1,0.949671772428884,0.9741863075196409
10,0.9596864501679732,1,0.9596864501679732,0.9794285714285714
11,0.9709302325581395,1,0.9709302325581395,0.9852507374631269
12,0.98676293622142,1,0.98676293622142,0.9933373712901271
13,0.9878345498783455,1,0.9878345498783455,0.9938800489596084
14,0.9878048780487805,1,0.9878048780487805,0.9938650306748467
15,0.9505494505494505,1,0.9505494505494505,0.9746478873239436
16,0.9222222222222223,1,0.9222222222222223,0.9595375722543353
17,0.9305555555555556,1,0.9305555555555556,0.9640287769784172
18,0.8936170212765957,1,0.8936170212765957,0.9438202247191011
19,0.8260869565217391,1,0.8260869565217391,0.9047619047619047
20,0.7647058823529411,1,0.7647058823529411,0.8666666666666666
21,0.6666666666666666,1,0.6666666666666666,0.8
22,0.5,1,0.5,0.6666666666666666
