Time,Accuracy,Weighted Avg Precision,Weighted Avg Recall,Weighted Avg F1-Score
0,0.06625258799171843,0.004389405415600393,0.06625258799171843,0.00823333132324268
2,0.06334371754932502,0.004012426552968667,0.06334371754932502,0.007546810098650052
3,0.061394380853277836,0.0037692700003573282,0.061394380853277836,0.0071024871967517505
6,0.05943691345151199,0.003532746680642527,0.05943691345151199,0.006669102493575164
7,0.05795574288724974,0.0033588681336129984,0.05795574288724974,0.0063497327864516645
8,0.055674518201284794,0.0030996519769451916,0.055674518201284794,0.005872362974577707
9,0.044857768052516414,0.0020122193546533622,0.044857768052516414,0.003851661759483085
10,0.043673012318029114,0.0019073320049307228,0.043673012318029114,0.0036550375115947113
11,0.040697674418604654,0.0016563007030827475,0.040697674418604654,0.003183058334416006
12,0.03369434416365824,0.0011353088286190501,0.03369434416365824,0.0021966045089230057
13,0.031630170316301706,0.0010004676742382534,0.031630170316301706,0.0019395859156222741
14,0.03170731707317073,0.0010053539559785843,0.03170731707317073,0.001948913106152338
15,0.13186813186813187,0.017389204202391016,0.13186813186813187,0.03072655499839966
16,0.2,0.04,0.2,0.06666666666666668
17,0.20833333333333334,0.043402777777777776,0.20833333333333334,0.07183908045977011
18,0.2978723404255319,0.08872793119058396,0.2978723404255319,0.13672828740844087
19,0.4782608695652174,0.2287334593572779,0.4782608695652174,0.309462915601023
20,0.35294117647058826,0.12456747404844291,0.35294117647058826,0.18414322250639384
21,0.5555555555555556,0.30864197530864196,0.5555555555555556,0.39682539682539686
22,1,1,1,1
