Time,Accuracy,Weighted Avg Precision,Weighted Avg Recall,Weighted Avg F1-Score
0,0.974120083,0.9748180309598627,0.974120082815735,0.9711561882091512
2,0.97403946,0.9747395824581804,0.9740394600207684,0.9708714526563116
3,0.973985432,0.9746870113498726,0.9739854318418314,0.9706666423920924
6,0.973931178,0.9746342209668692,0.9739311783107404,0.970447990028684
7,0.973656481,0.9743731159653768,0.9736564805057956,0.9699640628614958
8,0.976445396,0.977018627655341,0.9764453961456104,0.9734307053619632
9,0.987964989,0.988114745982554,0.9879649890590808,0.9870703731047484
10,0.988801792,0.9889314006055328,0.9888017917133258,0.9880109848725648
11,0.991860465,0.991928946779964,0.9918604651162792,0.9914254614750048
12,0.997593261,0.9975992406066178,0.9975932611311672,0.997550188621008
13,1,1,1,1
14,1,1,1,1
15,1,1,1,1
16,1,1,1,1
17,1,1,1,1
18,1,1,1,1
19,1,1,1,1
20,1,1,1,1
21,1,1,1,1
22,1,1,1,1
