Time,Accuracy,Weighted Avg Precision,Weighted Avg Recall,Weighted Avg F1-Score
0,0.07660455486542443,0.9381827317064719,0.07660455486542443,0.02879096718779045
2,0.07372793354101766,0.9407108121154272,0.07372793354101766,0.028161944182224934
3,0.07180020811654526,0.9424145239525512,0.07180020811654526,0.02775626541240027
6,0.06986444212721585,0.9441330592215503,0.06986444212721585,0.027361779235859383
7,0.06743940990516333,0.9454352846221107,0.06743940990516333,0.025185458394831155
8,0.059957173447537475,0.9474384656121203,0.059957173447537475,0.014422923905869871
9,0.047045951859956234,0.9571588640638796,0.047045951859956234,0.008226109483977647
10,0.04479283314669653,0.9582364579514812,0.04479283314669653,0.005895985631438485
11,0.040697674418604654,0.0016563007030827475,0.040697674418604654,0.003183058334416006
12,0.03369434416365824,0.0011353088286190501,0.03369434416365824,0.0021966045089230057
13,0.031630170316301706,0.0010004676742382534,0.031630170316301706,0.0019395859156222741
14,0.03170731707317073,0.0010053539559785843,0.03170731707317073,0.001948913106152338
15,0.13186813186813187,0.017389204202391016,0.13186813186813187,0.03072655499839966
16,0.2,0.04,0.2,0.06666666666666668
17,0.20833333333333334,0.043402777777777776,0.20833333333333334,0.07183908045977011
18,0.2978723404255319,0.08872793119058396,0.2978723404255319,0.13672828740844087
19,0.4782608695652174,0.2287334593572779,0.4782608695652174,0.309462915601023
20,0.35294117647058826,0.12456747404844291,0.35294117647058826,0.18414322250639384
21,0.5555555555555556,0.30864197530864196,0.5555555555555556,0.39682539682539686
22,1,1,1,1
