Time,Accuracy,Weighted Avg Precision,Weighted Avg Recall,Weighted Avg F1-Score
0,0.09213250517598344,0.8477071205888959,0.09213250517598344,0.06413576738382182
2,0.0893042575285566,0.8499541170907691,0.0893042575285566,0.06361912424209067
3,0.08740894901144641,0.8514696832376667,0.08740894901144641,0.06328910711553366
6,0.08550573514077164,0.8529994658646323,0.08550573514077164,0.06297088808117775
7,0.07903055848261328,0.8366119551058478,0.07903055848261328,0.05326519573935323
8,0.06852248394004283,0.8293171777395232,0.06852248394004283,0.035184088145625424
9,0.053610503282275714,0.7978913865128306,0.053610503282275714,0.025295533815260524
10,0.048152295632698766,0.7190711181126274,0.048152295632698766,0.01681075891810063
11,0.040697674418604654,0.4812201151923495,0.040697674418604654,0.007643363058966055
12,0.031287605294825514,0.001056758683058039,0.031287605294825514,0.0020444642899769294
13,0.031630170316301706,0.0010004676742382534,0.031630170316301706,0.0019395859156222741
14,0.03170731707317073,0.0010053539559785843,0.03170731707317073,0.001948913106152338
15,0.13186813186813187,0.017389204202391016,0.13186813186813187,0.03072655499839966
16,0.2,0.04,0.2,0.06666666666666668
17,0.20833333333333334,0.043402777777777776,0.20833333333333334,0.07183908045977011
18,0.2978723404255319,0.08872793119058396,0.2978723404255319,0.13672828740844087
19,0.4782608695652174,0.2287334593572779,0.4782608695652174,0.309462915601023
20,0.35294117647058826,0.12456747404844291,0.35294117647058826,0.18414322250639384
21,0.5555555555555556,0.30864197530864196,0.5555555555555556,0.39682539682539686
22,1,1,1,1
