Time,Accuracy,Weighted Avg Precision,Weighted Avg Recall,Weighted Avg F1-Score
0,0.5921325051759835,0.9430054155704432,0.5921325051759835,0.6890737677429439
2,0.5908618899273105,0.945148517111134,0.5908618899273105,0.6899005749426796
3,0.5900104058272633,0.9466017967854493,0.5900104058272633,0.6904780741931794
6,0.5891553701772679,0.9480750689581027,0.5891553701772679,0.6910772801171248
7,0.5848261327713382,0.9491435129229924,0.5848261327713382,0.6884340472762478
8,0.5792291220556746,0.9508312681952699,0.5792291220556746,0.6852828203930897
9,0.5722100656455142,0.9593995664154308,0.5722100656455142,0.6873021545663202
10,0.5677491601343785,0.9603346288123312,0.5677491601343786,0.6844384527042631
11,0.5662790697674419,0.9627935476516187,0.5662790697674419,0.6855296892698067
12,0.5607701564380265,0.9687062706876965,0.5607701564380264,0.6865800180143916
13,0.5608272506082725,0.9704948540460338,0.5608272506082724,0.6883705917666432
14,0.5621951219512196,0.9704339562876148,0.5621951219512196,0.6894588519807383
15,0.5439560439560439,0.8977097668686455,0.5439560439560439,0.6072012710285489
16,0.7555555555555555,0.8899999999999999,0.7555555555555555,0.7798756359525155
17,0.7916666666666666,0.8958333333333334,0.7916666666666666,0.8106060606060606
18,0.7659574468085106,0.868936170212766,0.7659574468085106,0.7755591925804691
19,0.7391304347826086,0.8312020460358056,0.7391304347826086,0.7236024844720498
20,0.6470588235294118,0.8235294117647058,0.6470588235294118,0.6397058823529411
21,0.7777777777777778,0.8412698412698413,0.7777777777777778,0.7592592592592591
22,1,1,1,1
